	quote	quotee	quoteeAffiliation	quoteeType	articleTopic	articleSim	quoteTopic	quoteSim
2308	"On Wednesday (13 February), Swedish retailers Ica, Coop and Axfood all revealed their own-label frozen lasagne products had also tested positive for horse meat, with some productsâ€™ meat content being 100% horse instead of beef.. ."	"Ica,"	"Ica,"	ORG	meat	0.858630952	meat	0.7578125
2309	"DUBLIN--(BUSINESS WIRE)--Research and Markets has announced the addition of the ""Lactose Free Food Market Analysis by Application (Dairy Products and Nondairy Products-); By Type (Lactose Free Products and Lactose Reduced Products); By Geography - Forecast (2015-2020)"" report to their offering.. ."	Markets	Markets	ORG	milk	0.828663793	milk	0.80625
2310	"""Achieving blood glucose control, weight loss and reducing the risk of cardiovascular events remains a significant challenge for adults with type 2 diabetes,"" said Mads Krogsgaard Thomsen, executive vice president and chief science officer of Novo Nordisk."	Mads Krogsgaard Thomsen	Mads Krogsgaard Thomsen	ORG	diabetes	0.815971022	diabetes	0.7578125
2325	The chicken industry maintains that human overuse of antibiotics should also be considered in the discussion and that no study has definitely proven the link between a personâ€™s infection and chicken they ate.	authority	authority	authority	chicken	0.774147727	chicken	0.7578125
2351	"â€œThe twin challenges of global water scarcity and pollution are contributing to a water availability emergency that threatens the profitability of food companies and long-term food and water security,â€ù said Brooke Barton, senior water program director at Ceres, who co-authored the report."	Brooke Barton	Ceres	PERSON	water	0.895988806	water	0.80625
2352	"SAN DIEGO, June 26, 2017 (GLOBE NEWSWIRE) -- Conatus Pharmaceuticals Inc. (NASDAQ:CNAT) today announced that the U.S. Food and Drug Administration (FDA) has granted Orphan Drug Designation to Conatus' drug candidate IDN-7314 for the treatment of primary sclerosing cholangitis (PSC), a disease affecting bile ducts in the liver which can lead to cirrhosis and liver failure."	DIEGO	DIEGO	ORG	liver	0.757058123	liver	0.711391383
2355	"Dr. Keith Poulsen of the WVMA said, â€œGrade A milk is only suitable for human consumption after pasteurization, as there are no acceptable rapid tests to identify harmful bacteria in raw milk, and even healthy cows shed bacteria in their milk.â€ù."	Keith Poulsen	WVMA	PERSON	milk	0.77683831	milk	0.80625
2356	"Meanwhile, the effect of the misinformation about HFCS meant consumers might be more likely to opt for sugar and manufacturers might switch from HFCS to sugar to address consumers' concerns, said the corn refiners, who are seeking damages.. ."	HFCS	HFCS	ORG	sugar	0.80887915	sugar	0.7578125
2357	"Jay Lund, a water expert at the University of California-Davis, says that water problems mean that agriculture may soon play a less important role in California's economy, as the business of growing food moves to the South and the Midwest, where water is less expensive."	Jay Lund	the University of California-Davis	PERSON	water	0.732337553	water	0.7578125
2358	"22nd Century Group, Inc. (NYSE MKT: XXII), a plant biotechnology company that is focused on reducing the harm caused by smoking, announced today that the Company has received written feedback from the Center for Tobacco Products (CTP) of the U.S. Food and Drug Administration (FDA) on the Companyâ€™s â€œBRAND Aâ€ù Modified Risk Tobacco Product (MRTP) application."	Inc. (	Inc. (	ORG	cancer	0.885817308	cancer	0.7578125
2359	"22nd Century Group, Inc. (NYSE MKT: XXII), a plant biotechnology company that is focused on reducing the harm caused by smoking, announced today that the Company has received written feedback from the Center for Tobacco Products (CTP) of the U.S. Food and Drug Administration (FDA) on the Companyâ€™s â€œBRAND Aâ€ù Modified Risk Tobacco Product (MRTP) application."	Inc. (	Inc. (	ORG	cancer	0.876302083	cancer	0.7578125
2400	"In fact, Wisconsin leads the Great Lakes region in the production of farm-raised fish, Kline said, with 95 farms processing food fish, including rainbow trout, Arctic char, Atlantic salmon, Pacific white shrimp, yellow perch and tilapia.. ."	Kathy Kline	unknown	PERSON	fish	0.852237654	fish	0.80625
2409	"â€œWe did find that the chemicals do transfer from the plastic to the fish,â€ù said lead author Chelea Rochman, â€œand we saw a greater concentration in the fish that ate the plastic that had been in the ocean than the fish that had eaten the controlled diet or the clean plastic diet.â€ù."	Chelea Rochman	unknown	PERSON	fish	0.784926471	fish	0.75390625
2410	"â€œWe did see an increase in glycogen depletion in our fish fed both the virgin plastic and our fish fed the plastic that had been in the ocean for 3 months,â€ù Rochman said.. ."	Chelea Rochman	unknown	PERSON	fish	0.784926471	fish	0.80625
2437	"The FDA has no clue how to improve smokers' health.To show just how clueless the government is when it comes to reducing the harms of cigarette smoking, the FDA wrote on page 218 of its deeming regs that â€œregardless of the nicotine content of the tobacco products, FDA believes that deeming tobacco products will result in significant public health benefits and that the additional restrictions imposed by this rule are appropriate for the protection of the public health.â€ù."	The Food and Drug Administration	The Food and Drug Administration	ORG	cancer	0.910440829	cancer	0.80625
2453	"22nd Century Group, Inc. (NYSE American: XXII), a plant biotechnology company that is focused on tobacco harm reduction, announced today that, as reported in Bloomberg News, the landmark plan by the United States Food and Drug Administration (FDA) to reduce nicotine in cigarettes to non-addictive levels is prompting authorities in countries outside of the United States to pursue their own nicotine reduction mandates.. ."	Inc. (	Inc. (	ORG	cancer	0.879734848	cancer	0.7578125
2459	"â€œAs a physician, reducing the physical sensation of pain experienced by my patients is only part of my job; my ultimate goal is to help patients overcome both the physical pain and the suffering associated with their pain,â€ù says Timothy R Deer, president and chief executive officer of The Center for Pain Relief in Charleston, USA."	Timothy R Deer	The Center for Pain Relief	PERSON	diabetes	0.949013158	diabetes	0.80625
2508	"Mauricio Galindo, head of operations at the International Coffee Organization, said that Brazil and Colombia are the only coffee-growing countries that have successfully managed to export roasted coffee, but even then with great difficulty.. ."	Mauricio Galindo	the International Coffee Organization	PERSON	coffee	0.822544643	coffee	0.7578125
2509	"Research suggests that instead of costly and painful biopsy procedures, ultrasound exams using shear wave elastography could become routine for assessing liver disease status and may reduce or avoid the need for conventional liver biopsies [3].. ."	authority	authority	authority	liver	0.878188776	liver	0.7578125
2516	"Approximately one-third of cancer drugs approved come to market on the basis of demonstrated improvement in overall survival in randomized clinical trials, while two-thirds are approved on the basis of a surrogate end point.1 Although overall survival is an ideal end point, the US Food and Drug Administration (FDA) has demonstrated flexibility in accepting surrogate end points for life-threatening conditions with few alternative treatment options.1 In recent years, however, 3 related findingsâ€”survival gains in trials of cancer drugs are marginal, trials of cancer drugs are conducted in unrepresentative populations, and real-world outcomes data find no benefits or diminished benefits of cancer drugsâ€”have coalesced to yield a surprising conclusion: even overall survival in clinical trials of cancer drugs may be a surrogate end point."	the US Food and Drug Administration	the US Food and Drug Administration	ORG	cancer	0.87890625	cancer	0.838541667
2584	"â€œWhile we pursue a policy that focuses on addressing the role that nicotine plays in keeping smokers addicted to combustible cigarettes, and to help move those who cannot quit nicotine altogether onto less harmful products, we will also continue to work vigorously to keep all tobacco products out of the hands of kids,â€ù Gottlieb said in an agency news release.. ."	Scott Gottlieb	unknown	PERSON	cancer	0.884191176	cancer	0.7578125
